amerloques,90631,47422,0.5465102967362988
sourirons,207647,86008,0.5472801376208678
ricaner,197861,82919,0.5478891385058478
déplumés,129739,60322,0.5644841499328659
incorrigible,155315,68302,0.5490389243585159
malpoli,164830,71905,0.5496008864028911
tyrannique,218228,89763,0.5501601659289286
tripotes,217146,89369,0.5734017933726817
raseur,191379,81601,0.5513536570935396
feignais,141098,63187,0.5691946917371526
jaloux,159472,69698,0.5525026357950004
froufroutants,145049,64429,0.5530668581553546
fouiner,143776,64036,0.5646100140773702
famélique,140482,62972,0.5542398858860422
invétérés,158809,69417,0.5825551264571143
oisif,174899,75786,0.5918576213720838
flemmardes,142556,63649,0.5562680400992533
attraperais,96083,49294,0.5752505078169046
flegmatiquement,142544,63645,0.5574591685037015
épatants,225862,92290,0.5903097141118561
primates,184974,79499,0.558585714662237
bipèdes,100299,50888,0.5719576596503457
fanfaronné,140542,62989,0.5800810036467665
ptérodactyle,187797,80325,0.57182902684677
nonchalamment,173045,75156,0.5610534396870268
mâchouillant,170846,74297,0.5838887446036036
frivoles,144880,64378,0.5621970199360191
lourdaud,163352,71303,0.5694959256465988
dégourdi,127761,59894,0.5804843728946273
chafouin,107944,53735,0.5849887704103909
hurleur,152464,67212,0.5645574636294922
coasser,111497,55048,0.5784501332147423
égoïstement,224696,91978,0.565727227294178
ivrognes,159316,69642,0.5663046944344104
pythons,188340,80538,0.5668663258509078
remueur,194982,82386,0.5674508463312927
brachycéphale,102616,51710,0.5721198844725788
mordre,169495,73771,0.5686050073573112
couards,117333,56704,0.5692067121773247
rondouillards,198628,83195,0.6379290731628617
raffolent,190317,81340,0.5954017162640229
ivrognasse,159311,69641,0.5917075190158567
familiers,140468,62965,0.5715865940177529
infréquentable,156359,68691,0.5847118723100548
gesticulateurs,147192,65176,0.5727604132482204
minable,167994,73217,0.573467330655951
chagrinée,107967,53738,0.5741032357015865
irascibles,158918,69473,0.6103464454068726
amuser,90996,47539,0.6125338904286778
bricolent,103066,51857,0.5759595229632906
dociles,123440,58743,0.5838102629382123
jeunots,159786,69823,0.577082354043167
méprisants,171441,74516,0.5777611131938045
chapardage,108365,53868,0.5800349657808378
méprisant,171437,74513,0.600630863385277
vicieux,220648,90673,0.5795019822588098
simiesque,205845,85419,0.5800712261642493
horripilation,152080,67058,0.5823809169458906
bouledogue,102062,51506,0.5903338915327573
détestes,131587,60766,0.6495970781622604
dévorants,132093,60868,0.5825860219943524
dédaignais,126871,59693,0.59020605254658
impulsif,154555,68014,0.5837374206416385
muridés,170438,74141,0.5843010242701493
bagarreurs,97762,49918,0.5989711259732424
mâchons,170843,74288,0.5854936260457764
farceur,140639,63032,0.635338527169031
acariâtres,86283,46261,0.5975494557935512
freux,144600,64284,0.5872310609357123
hirsutes,151628,66854,0.5878356266604203
débridés,125287,59327,0.5883959640835841
dégueulais,127948,59932,0.5890129969525261
gêneur,150528,66434,0.5945059629184659
veinardes,219890,90398,0.5901833669044686
boulochait,102125,51524,0.5907823765960238
délectable,128257,59998,0.5913670677610805
brouter,103607,52033,0.6215124539034425
lièvres,162825,71094,0.5925545735615169
puéril,188275,80496,0.6049949095391336
herbivore,151421,66755,0.6236528898157837
perroquet,179875,77603,0.5979573085645569
tyrannosaures,218241,89766,0.5950454568874644
scrupule,204477,84923,0.5973548930181922
glapissants,147548,65323,0.5962681998959918
dégueulassés,127961,59935,0.5975790926201542
tricératops,216869,89280,0.5975220349410405
sarcastiquement,203509,84541,0.5980940097384623
esseulement,137900,62151,0.5986993394906902
superstitieux,210057,86936,0.5993146651691632
musaraignes,170484,74151,0.59993921000711
cervidés,107877,53704,0.6005383171922645
pleurnicheries,182374,78533,0.6084305598010413
attendrissais,95847,49245,0.6079112202406566
flagorner,142333,63586,0.6361116818053281
félins,145829,64659,0.6029131887491621
japper,159536,69728,0.6034984090810965
poulpes,184338,79317,0.6041014832985518
vantard,219591,90297,0.631720092762938
inintelligents,156567,68764,0.6052671202554606
périssodactyle,188852,80743,0.6058436209721288
méprisable,171430,74514,0.6064073051481683
pusillanimes,188216,80466,0.610329674312742
pétochait,188970,80790,0.6077595731805665
enrageai,135824,61691,0.6330265003288202
mâchonner,170840,74295,0.6119694433706573
honnête,151942,67011,0.6096647977452122
moustaches,170090,73991,0.6102484803674241
tyranniser,218236,89765,0.6213665791673852
démerdards,128705,60093,0.6215531629215443
radotes,190258,81322,0.6155341880555021
jovialement,160115,69928,0.6126502369002317
goguenards,147884,65466,0.6132166559743881
